accession,start,stop,strand,geneID,locus,locus_tag,protein_product,length,protein_name
NW_007930841.1,336746,339666,-,19885867,,BBA_02855,XP_008596174.1,901,cell division control protein
NW_007930841.1,340473,347150,+,19885868,,BBA_02856,XP_008596175.1,2183,CCR4-Not complex component
NW_007930841.1,347508,348449,-,19885869,,BBA_02857,XP_008596176.1,313,phenazine biosynthesis protein phzF
NW_007930841.1,352954,354160,+,19885870,,BBA_02858,XP_008596177.1,383,mucin-like protein
NW_007930841.1,354719,356055,-,19885871,,BBA_02859,XP_008596178.1,425,methyltransferase OMS1
NW_007930841.1,356439,357978,+,19885872,,BBA_02860,XP_008596179.1,495,Ribosomal protein S5
NW_007930841.1,358882,360077,+,19885873,,BBA_02861,XP_008596180.1,324,Cell division control protein 2
NW_007930841.1,361534,361850,+,19885874,,BBA_02862,XP_008596181.1,81,hypothetical protein BBA_02862
NW_007930841.1,370934,372106,+,19885875,,BBA_02863,XP_008596182.1,390,cyclin domain-containing protein
NW_007930841.1,374245,377568,-,19885876,,BBA_02864,XP_008596183.1,1107,heavy metal translocating P-type ATPase
NW_007930841.1,379065,381065,-,19885877,,BBA_02865,XP_008596184.1,666,serine carboxypeptidase
NW_007930841.1,382513,383406,-,19885878,,BBA_02866,XP_008596185.1,297,3-demethylubiquinone-9 3-O-methyltransferase
NW_007930841.1,385121,385893,+,19885879,,BBA_02867,XP_008596186.1,232,"3,4-dihydroxy-2-butanone 4-phosphate synthase"
NW_007930841.1,386356,389396,-,19885880,,BBA_02868,XP_008596187.1,974,essential cytoplasmic protein Ctr86
NW_007930841.1,390113,391210,+,19885881,,BBA_02869,XP_008596188.1,306,methylthioadenosine phosphorylase
NW_007930841.1,401875,403146,+,19885882,,BBA_02870,XP_008596189.1,372,DUF323 domain-containing protein
NW_007930836.1,791555,794170,+,19883279,,BBA_00267,XP_008593586.1,836,ubiquitin-protein ligase Sel1/Ubx2
NW_007930836.1,795920,796581,+,19883280,,BBA_00268,XP_008593587.1,167,hypothetical protein BBA_00268
NW_007930836.1,796861,797568,-,19883281,,BBA_00269,XP_008593588.1,197,hypothetical protein BBA_00269
NW_007930836.1,797761,801102,+,19883282,,BBA_00270,XP_008593589.1,1052,tRNA synthetase class II
NW_007930836.1,801405,803085,-,19883283,,BBA_00271,XP_008593590.1,508,hypothetical protein BBA_00271
NW_007930836.1,803445,804791,+,19883284,,BBA_00272,XP_008593591.1,448,cysteine synthase 2
NW_007930836.1,805157,806439,-,19883285,,BBA_00273,XP_008593592.1,309,transcription elongation factor S-II
NW_007930836.1,806966,810430,-,19883286,,BBA_00274,XP_008593593.1,1154,DNA excision repair protein
NW_007930836.1,810842,811246,+,19883287,,BBA_00275,XP_008593594.1,109,LSM domain-containing protein
NW_007930836.1,811591,812856,-,19883288,,BBA_00276,XP_008593595.1,348,"sphingolipid long chain base sensory protein, putative"
NW_007930836.1,815717,819246,+,19883289,,BBA_00277,XP_008593596.1,1158,SET domain-containing protein
NW_007930836.1,819973,820799,+,19883290,,BBA_00278,XP_008593597.1,204,endoplasmic reticulum transmembrane protein
NW_007930836.1,821016,822034,-,19883291,,BBA_00279,XP_008593598.1,308,hypothetical protein BBA_00279
NW_007930836.1,823466,824872,+,19883292,,BBA_00280,XP_008593599.1,468,"C6 transcription factor, putative"
NW_007930836.1,825514,826398,+,19883293,,BBA_00281,XP_008593600.1,242,cupin-like protein
NW_007930836.1,826591,828407,-,19883294,,BBA_00282,XP_008593601.1,495,"MFS allantoate transporter, putative"
NW_007930836.1,829377,831000,-,19883295,,BBA_00283,XP_008593602.1,455,membrane transporter
NW_007930836.1,832023,832736,+,19883296,,BBA_00284,XP_008593603.1,237,hypothetical protein BBA_00284
NW_007930836.1,833896,834142,+,19883297,,BBA_00285,XP_008593604.1,52,transmembrane protein
NW_007930836.1,834403,835732,-,19883298,,BBA_00286,XP_008593605.1,403,2OG-Fe(II) oxygenase superfamily protein
NW_007930836.1,836132,838997,-,19883299,,BBA_00287,XP_008593606.1,935,WD domain-containing protein
NW_007930836.1,839312,839726,+,19883300,,BBA_00288,XP_008593607.1,79,RNA polymerase N/8 kDa subunit
NW_007930836.1,843527,846000,+,19883301,,BBA_00289,XP_008593608.1,713,hypothetical protein BBA_00289
NW_007930836.1,846974,849109,-,19883302,,BBA_00290,XP_008593609.1,618,hypothetical protein BBA_00290
NW_007930836.1,853411,855546,-,19883303,,BBA_00291,XP_008593610.1,648,COM1 protein
NW_007930836.1,863592,869210,+,19883304,,BBA_00292,XP_008593611.1,1439,WD domain-containing protein
NW_007930836.1,869438,870574,-,19883305,,BBA_00293,XP_008593612.1,276,PIG-P domain-containing protein
NW_007930836.1,870932,875887,-,19883306,,BBA_00294,XP_008593613.1,1635,vacuolar assembly/sorting protein VPS8
NW_007930836.1,876655,878012,+,19883307,,BBA_00295,XP_008593614.1,385,hypothetical protein BBA_00295
NW_007930836.1,878761,880143,-,19883308,,BBA_00296,XP_008593615.1,431,RING-8 protein
NW_007930836.1,887187,891663,+,19883309,,BBA_00297,XP_008593616.1,1475,"class V chitinase, putative"
NW_007930836.1,892853,893810,+,19883310,,BBA_00298,XP_008593617.1,175,putative U-snRNP-associated cyclophilin
NW_007930836.1,894207,895565,-,19883311,,BBA_00299,XP_008593618.1,452,hypothetical protein BBA_00299
NW_007930836.1,899924,902686,-,19883312,,BBA_00300,XP_008593619.1,901,FoabaA-like protein
NW_007930836.1,904397,907249,-,19883313,,BBA_00301,XP_008593620.1,850,RNA recognition domain-containing protein
NW_007930836.1,909286,911808,-,19883314,,BBA_00302,XP_008593621.1,790,glycosyltransferase family 2
NW_007930836.1,917512,918763,+,19883315,,BBA_00303,XP_008593622.1,339,"endoglucanase, putative"
NW_007930836.1,920732,921447,+,19883316,,BBA_00304,XP_008593623.1,100,dynein light chain type 1
NW_007930836.1,922433,924475,+,19883317,,BBA_00305,XP_008593624.1,537,Cytochrome P450 CYP628A2
NW_007930841.1,403307,406267,-,19885883,,BBA_02871,XP_008596190.1,784,hypothetical protein BBA_02871
NW_007930841.1,411340,412468,+,19885884,,BBA_02872,XP_008596191.1,324,hypothetical protein BBA_02872
NW_007930841.1,418788,420261,+,19885885,,BBA_02873,XP_008596192.1,473,sarcosine oxidase
NW_007930841.1,424407,427541,-,19885886,,BBA_02874,XP_008596193.1,1044,Cytochrome P450 CYP505D4
NW_007930841.1,428436,429738,-,19885887,,BBA_02875,XP_008596194.1,408,DNA repair protein MMS21
NW_007930841.1,431070,431801,+,19885888,,BBA_02876,XP_008596195.1,203,vivid PAS protein VVD
NW_007930841.1,432193,433605,-,19885889,,BBA_02877,XP_008596196.1,400,formamidopyrimidine-DNA glycosylase
NW_007930841.1,436257,437838,-,19885890,,BBA_02878,XP_008596197.1,495,PH domain-containing protein
NW_007930841.1,439224,440605,-,19885891,,BBA_02879,XP_008596198.1,415,KilA-N domain-containing protein
NW_007930841.1,442914,443860,+,19885892,,BBA_02880,XP_008596199.1,198,RHO protein GDP dissociation inhibitor
NW_007930841.1,444163,445299,-,19885893,,BBA_02881,XP_008596200.1,320,serine/threonine-protein phosphatase PP2A catalytic subunit
NW_007930841.1,446658,448528,+,19885894,,BBA_02882,XP_008596201.1,586,zinc knuckle protein
NW_007930841.1,450155,450763,-,19885895,,BBA_02883,XP_008596202.1,202,hypothetical protein BBA_02883
NW_007930841.1,451068,454424,-,19885896,,BBA_02884,XP_008596203.1,1102,leucine Rich Repeat family protein
NW_007930841.1,455764,457007,-,19885897,,BBA_02885,XP_008596204.1,395,hypothetical protein BBA_02885
NW_007930841.1,457543,458304,-,19885898,,BBA_02886,XP_008596205.1,253,alanine and arginine rich protein
NW_007930841.1,458887,459241,+,19885899,,BBA_02887,XP_008596206.1,95,hypothetical protein BBA_02887
NW_007930841.1,459864,461407,-,19885900,,BBA_02888,XP_008596207.1,436,Major royal jelly protein
NW_007930841.1,462897,463901,+,19885901,,BBA_02889,XP_008596208.1,334,hypothetical protein BBA_02889
NW_007930841.1,465156,465851,-,19885902,,BBA_02890,XP_008596209.1,231,hypothetical protein BBA_02890
NW_007930841.1,466998,470452,-,19885903,,BBA_02891,XP_008596210.1,1084,"isoleucyl-tRNA synthetase, cytoplasmic"
NW_007930841.1,471439,471687,-,19885904,,BBA_02892,XP_008596211.1,82,hypothetical protein BBA_02892
NW_007930841.1,472338,473948,-,19885905,,BBA_02893,XP_008596212.1,497,Ser/Thr protein phosphatase family protein
NW_007930841.1,475959,478128,+,19885906,,BBA_02894,XP_008596213.1,607,FGGY-family pentulose kinase
NW_007930841.1,478925,482558,+,19885907,,BBA_02895,XP_008596214.1,1193,nucleoporin NIC96
NW_007930841.1,483125,483926,-,19885908,,BBA_02896,XP_008596215.1,207,ATP/GTP-binding protein
NW_007930841.1,484271,487556,-,19885909,,BBA_02897,XP_008596216.1,1026,replication factor RFC1 C terminal domain-containing protein
NW_007930841.1,487894,488776,+,19885910,,BBA_02898,XP_008596217.1,252,ribosomal protein L16p/L10e
NW_007930841.1,489141,490333,+,19885911,,BBA_02899,XP_008596218.1,352,putative activator 1 subunit 5
NW_007930841.1,490568,491326,-,19885912,,BBA_02900,XP_008596219.1,252,chymotrypsin-like proteinase 5A precursor
NW_007930841.1,492334,493396,-,19885913,,BBA_02901,XP_008596220.1,289,short chain dehydrogenase
NW_007930841.1,494367,496799,-,19885914,,BBA_02902,XP_008596221.1,711,hypothetical protein BBA_02902
NW_007930841.1,497805,499208,-,19885915,,BBA_02903,XP_008596222.1,423,putative 26s proteasome p44.5 protein
NW_007930841.1,499807,500605,+,19885916,,BBA_02904,XP_008596223.1,241,GrpE protein
NW_007930841.1,501195,501479,-,19885917,,BBA_02905,XP_008596224.1,62,protein transport protein YOS1
NW_007930841.1,502302,503821,-,19885918,,BBA_02906,XP_008596225.1,236,hypothetical protein BBA_02906
NW_007930841.1,504481,505995,-,19885919,,BBA_02907,XP_008596226.1,486,bystin-like protein
NW_007930841.1,506542,507800,+,19885920,,BBA_02908,XP_008596227.1,358,protein family UPF0507
NW_007930836.1,925317,927512,+,19883318,,BBA_00306,XP_008593625.1,731,DEAD/DEAH box helicase
NW_007930836.1,930066,931759,+,19883319,,BBA_00307,XP_008593626.1,467,"Protein of unknown function DUF2401, secretory"
NW_007930836.1,932205,934144,-,19883320,,BBA_00308,XP_008593627.1,628,lysyl-tRNA synthetase
NW_007930836.1,934776,936254,+,19883321,,BBA_00309,XP_008593628.1,467,"Actin-like protein, ARP4 class"
NW_007930836.1,936564,937511,-,19883322,,BBA_00310,XP_008593629.1,315,mismatch-specific thymine-DNA glycosylate
NW_007930836.1,939758,941319,+,19883323,,BBA_00311,XP_008593630.1,502,UTP-glucose-1-phosphate uridylyltransferase
NW_007930836.1,941628,944535,-,19883324,,BBA_00312,XP_008593631.1,865,raffinose synthase Sip1
NW_007930836.1,944941,946733,+,19883325,,BBA_00313,XP_008593632.1,519,mitochondrial-processing peptidase subunit beta
NW_007930836.1,947780,951228,-,19883326,,BBA_00314,XP_008593633.1,1122,fibronectin type III domain-containing protein
NW_007930836.1,953412,955702,+,19883327,,BBA_00315,XP_008593634.1,745,SMP2 protein
NW_007930836.1,956377,959047,-,19883328,,BBA_00316,XP_008593635.1,867,histidinol dehydrogenase
NW_007930836.1,959961,960722,+,19883329,,BBA_00317,XP_008593636.1,253,transcription initiation factor IID
NW_007930836.1,961148,962933,-,19883330,,BBA_00318,XP_008593637.1,540,"AMP-binding enzyme, putative"
NW_007930836.1,964885,966143,+,19883331,,BBA_00319,XP_008593638.1,395,Peptidase S8
NW_007930836.1,966653,969260,+,19883332,,BBA_00320,XP_008593639.1,831,subunit of VP52-54 complex
NW_007930836.1,969956,971169,+,19883333,,BBA_00321,XP_008593640.1,321,thioredoxin-disulfide reductase
NW_007930836.1,971914,972768,-,19883334,,BBA_00322,XP_008593641.1,257,metalloprotease-like protein
NW_007930836.1,976859,978710,+,19883335,,BBA_00323,XP_008593642.1,536,inosine-5\\'-monophosphate dehydrogenase
NW_007930836.1,979068,979963,-,19883336,,BBA_00324,XP_008593643.1,218,Acyl-CoA N-acyltransferase
NW_007930836.1,981296,981669,-,19883337,,BBA_00325,XP_008593644.1,97,ribosomal protein L36
NW_007930836.1,982315,984540,-,19883338,,BBA_00326,XP_008593645.1,703,hypothetical protein BBA_00326
NW_007930836.1,990382,992014,+,19883339,,BBA_00327,XP_008593646.1,500,immunogenic protein
NW_007930836.1,993318,997355,-,19883340,,BBA_00328,XP_008593647.1,1345,putative histidine kinase HHK13p
NW_007930836.1,1001463,1002385,+,19883341,,BBA_00329,XP_008593648.1,265,hypothetical protein BBA_00329
NW_007930836.1,1002609,1004409,-,19883342,,BBA_00330,XP_008593649.1,524,succinate-semialdehyde dehydrogenase NADP+
NW_007930836.1,1006086,1007028,+,19883343,,BBA_00331,XP_008593650.1,275,ribosomal recycling factor
NW_007930836.1,1007290,1008498,-,19883344,,BBA_00332,XP_008593651.1,402,hypothetical protein BBA_00332
NW_007930836.1,1009277,1010971,-,19883345,,BBA_00333,XP_008593652.1,530,calcineurin-like phosphoesterase
NW_007930836.1,1015404,1016414,-,19883346,,BBA_00334,XP_008593653.1,304,haloacid dehalogenase-like hydrolase
NW_007930836.1,1018527,1019570,+,19883347,,BBA_00335,XP_008593654.1,347,SUR7 protein
NW_007930836.1,1020086,1023748,+,19883348,,BBA_00336,XP_008593655.1,1183,WD domain-containing protein
NW_007930836.1,1026465,1026715,+,19883349,,BBA_00337,XP_008593656.1,61,hypothetical protein BBA_00337
NW_007930836.1,1029235,1030462,+,19883350,,BBA_00338,XP_008593657.1,377,L-arabinitol 4-dehydrogenase
NW_007930836.1,1031139,1032851,-,19883351,,BBA_00339,XP_008593658.1,551,hypothetical protein BBA_00339
NW_007930836.1,1033381,1033781,+,19883352,,BBA_00340,XP_008593659.1,81,LSM domain-containing protein
NW_007930836.1,1034496,1035410,-,19883353,,BBA_00341,XP_008593660.1,287,hypothetical protein BBA_00341
NW_007930836.1,1037150,1038239,+,19883354,,BBA_00342,XP_008593661.1,258,hypothetical protein BBA_00342
NW_007930836.1,1039177,1040509,+,19883355,,BBA_00343,XP_008593662.1,424,Cys/Met metabolism PLP-dependent enzyme
NW_007930841.1,507990,510181,-,19885921,,BBA_02909,XP_008596228.1,687,kelch repeat protein
NW_007930841.1,511747,516865,+,19885922,,BBA_02910,XP_008596229.1,1068,methionine aminopeptidase
NW_007930841.1,519698,522319,-,19885923,,BBA_02911,XP_008596230.1,814,AT hook domain-containing protein
NW_007930841.1,522957,523483,-,19885924,,BBA_02912,XP_008596231.1,153,CoA binding domain-containing protein
NW_007930841.1,524380,525345,+,19885925,,BBA_02913,XP_008596232.1,302,methyltransferase domain-containing protein
NW_007930841.1,526294,526938,+,19885926,,BBA_02914,XP_008596233.1,147,myosin regulatory light chain cdc4
NW_007930841.1,528117,530360,+,19885927,,BBA_02915,XP_008596234.1,701,peptidase family M3
NW_007930841.1,532930,534731,+,19885928,,BBA_02916,XP_008596235.1,501,"MFS transporter, putative"
NW_007930841.1,538106,539331,+,19885929,,BBA_02917,XP_008596236.1,372,G-protein coupled receptor
NW_007930841.1,540052,542116,-,19885930,,BBA_02918,XP_008596237.1,606,major facilitator superfamily transporter
NW_007930841.1,545029,550937,-,19885931,,BBA_02919,XP_008596238.1,1053,sulfate permease
NW_007930841.1,553816,555268,+,19885932,,BBA_02920,XP_008596239.1,386,lipase/thioesterase family protein
NW_007930841.1,556328,558462,+,19885933,,BBA_02921,XP_008596240.1,629,glucose dehydrogenase
NW_007930841.1,558985,559389,-,19885934,,BBA_02922,XP_008596241.1,134,hypothetical protein BBA_02922
NW_007930841.1,560292,562372,-,19885935,,BBA_02923,XP_008596242.1,619,glycosyltransferase family 22
NW_007930841.1,563533,565293,+,19885936,,BBA_02924,XP_008596243.1,586,NAF1 domain-containing protein
NW_007930841.1,565593,567030,-,19885937,,BBA_02925,XP_008596244.1,398,peptidase family M28
NW_007930841.1,567503,568061,-,19885938,,BBA_02926,XP_008596245.1,139,cupin domain protein
NW_007930841.1,568590,569657,+,19885939,,BBA_02927,XP_008596246.1,355,alcohol dehydrogenase zinc-binding domain-containing protein
NW_007930841.1,569926,570456,-,19885940,,BBA_02928,XP_008596247.1,150,hypothetical protein BBA_02928
NW_007930841.1,571094,571705,+,19885941,,BBA_02929,XP_008596248.1,203,hypothetical protein BBA_02929
NW_007930841.1,572250,574284,-,19885942,,BBA_02930,XP_008596249.1,587,protein-tyrosine phosphatase
NW_007930841.1,576197,577080,-,19885943,,BBA_02931,XP_008596250.1,258,DNA replication complex GINS protein PSF2
NW_007930841.1,578009,579974,-,19885944,,BBA_02932,XP_008596251.1,525,General substrate transporter
NW_007930841.1,582035,584100,-,19885945,,BBA_02933,XP_008596252.1,599,carboxylesterase-like protein
NW_007930841.1,584753,585457,-,19885946,,BBA_02934,XP_008596253.1,234,DJ-1/PfpI family protein
NW_007930841.1,586760,589792,+,19885947,,BBA_02935,XP_008596254.1,852,C2H2 type zinc finger domain protein
NW_007930841.1,590099,591405,+,19885948,,BBA_02936,XP_008596255.1,413,peptidase family protein
NW_007930841.1,592148,593374,+,19885949,,BBA_02937,XP_008596256.1,408,"GNAT family acetyltransferase, putative"
NW_007930841.1,593739,595477,-,19885950,,BBA_02938,XP_008596257.1,558,prolyl-tRNA synthetase
NW_007930841.1,596343,598183,+,19885951,,BBA_02939,XP_008596258.1,565,T-complex protein 1
NW_007930841.1,598949,599959,-,19885952,,BBA_02940,XP_008596259.1,252,cytochrome b-c1 complex subunit Rieske
NW_007930841.1,601007,607730,-,19885953,,BBA_02941,XP_008596260.1,1899,chitinase A1
NW_007930841.1,608669,610327,+,19885954,,BBA_02942,XP_008596261.1,426,LysM domain containing protein
NW_007930841.1,610504,611508,-,19885955,,BBA_02943,XP_008596262.1,288,hypothetical protein BBA_02943
NW_007930841.1,614757,615411,+,19885956,,BBA_02944,XP_008596263.1,198,tat pathway signal sequence
NW_007930841.1,616279,617838,+,19885957,,BBA_02945,XP_008596264.1,380,LysM domain-containing protein
NW_007930841.1,618027,621679,-,19885958,,BBA_02946,XP_008596265.1,1174,CPSF A subunit region
NW_007930841.1,622663,623758,+,19885959,,BBA_02947,XP_008596266.1,348,hypothetical protein BBA_02947
NW_007930836.1,1041629,1043735,+,19883356,,BBA_00344,XP_008593663.1,642,Putative Zn(II)2Cys6 transcription factor
NW_007930836.1,1044040,1045421,-,19883357,,BBA_00345,XP_008593664.1,367,iron-sulfur cluster-binding protein
NW_007930836.1,1047005,1048379,+,19883358,,BBA_00346,XP_008593665.1,433,fructosyl amino acid oxidase
NW_007930836.1,1048794,1050290,-,19883359,,BBA_00347,XP_008593666.1,464,KH domain-containing protein
NW_007930836.1,1051469,1052507,+,19883360,,BBA_00348,XP_008593667.1,330,hypothetical protein BBA_00348
NW_007930836.1,1053472,1054923,+,19883361,,BBA_00349,XP_008593668.1,483,cellobiose dehydrogenase
NW_007930836.1,1055448,1056127,+,19883362,,BBA_00350,XP_008593669.1,185,dUTP diphosphatase
NW_007930836.1,1056464,1057838,-,19883363,,BBA_00351,XP_008593670.1,353,pyridoxal kinase
NW_007930836.1,1058862,1059788,-,19883364,,BBA_00352,XP_008593671.1,259,proliferating cell nuclear antigen
NW_007930836.1,1060696,1062809,-,19883365,,BBA_00353,XP_008593672.1,639,proliferating cell nuclear antigen
NW_007930836.1,1063771,1064451,-,19883366,,BBA_00354,XP_008593673.1,226,2-deoxyglucose-6-phosphate phosphatase
NW_007930836.1,1064927,1066375,+,19883367,,BBA_00355,XP_008593674.1,453,alanine racemase domain protein
NW_007930836.1,1066393,1068221,-,19883368,,BBA_00356,XP_008593675.1,590,C6 transcription factor
NW_007930836.1,1068983,1071043,+,19883369,,BBA_00357,XP_008593676.1,686,hypothetical protein BBA_00357
NW_007930836.1,1071787,1087440,-,19883370,,BBA_00358,XP_008593677.1,5124,involucrin repeat protein
NW_007930836.1,1089378,1091380,-,19883371,,BBA_00359,XP_008593678.1,575,zinc finger family protein
NW_007930836.1,1097730,1100312,-,19883372,,BBA_00360,XP_008593679.1,860,Cullin family protein
NW_007930836.1,1100722,1101171,-,19883373,,BBA_00361,XP_008593680.1,149,hypothetical protein BBA_00361
NW_007930836.1,1102329,1103240,-,19883374,,BBA_00362,XP_008593681.1,266,hypothetical protein BBA_00362
NW_007930836.1,1108027,1108647,+,19883375,,BBA_00363,XP_008593682.1,206,"ER membrane protein (Pkr1), putative"
NW_007930836.1,1108814,1110832,-,19883376,,BBA_00364,XP_008593683.1,546,sucrose transporter
NW_007930836.1,1112018,1117658,-,19883377,,BBA_00365,XP_008593684.1,1860,RhoGEF domain-containing protein
NW_007930836.1,1119866,1124275,+,19883378,,BBA_00366,XP_008593685.1,1141,telomerase reverse transcriptase
NW_007930836.1,1124521,1126176,-,19883379,,BBA_00367,XP_008593686.1,551,hypothetical protein BBA_00367
NW_007930836.1,1127339,1128385,-,19883380,,BBA_00368,XP_008593687.1,348,F-box domain protein
NW_007930836.1,1129569,1131160,-,19883381,,BBA_00369,XP_008593688.1,503,Putative Zn(II)2Cys6 transcription factor
NW_007930836.1,1134163,1135457,+,19883382,,BBA_00370,XP_008593689.1,225,IBR finger domain protein
NW_007930836.1,1135974,1137194,-,19883383,,BBA_00371,XP_008593690.1,406,hypothetical protein BBA_00371
NW_007930836.1,1138960,1140071,+,19883384,,BBA_00372,XP_008593691.1,324,Mitochondrial carrier protein
NW_007930836.1,1140399,1141914,-,19883385,,BBA_00373,XP_008593692.1,386,inosine-uridine preferring nucleoside hydrolase
NW_007930836.1,1142634,1144289,-,19883386,,BBA_00374,XP_008593693.1,532,hypothetical protein BBA_00374
NW_007930836.1,1144818,1148271,+,19883387,,BBA_00375,XP_008593694.1,1130,impB/mucB/samB family protein
NW_007930836.1,1148513,1149162,-,19883388,,BBA_00376,XP_008593695.1,167,WSC domain-containing protein
NW_007930836.1,1150274,1151019,+,19883389,,BBA_00377,XP_008593696.1,224,ER membrane protein SH3
NW_007930836.1,1152335,1153416,+,19883390,,BBA_00378,XP_008593697.1,331,amino-acid transporter arg-13
NW_007930836.1,1153672,1154436,-,19883391,,BBA_00379,XP_008593698.1,161,TspO/MBR family protein
NW_007930836.1,1155131,1157002,+,19883392,,BBA_00380,XP_008593699.1,600,cell division control protein
NW_007930836.1,1160642,1163421,+,19883393,,BBA_00381,XP_008593700.1,905,pH-response regulator protein palF/RIM8
NW_007930836.1,1164025,1164948,-,19883394,,BBA_00382,XP_008593701.1,307,Fe-S protein assembly co-chaperone HscB
NW_007930841.1,623958,625083,-,19885960,,BBA_02948,XP_008596267.1,344,hypothetical protein BBA_02948
NW_007930841.1,625713,626893,-,19885961,,BBA_02949,XP_008596268.1,353,ATP synthase F0
NW_007930841.1,627895,629142,+,19885962,,BBA_02950,XP_008596269.1,415,WD repeat domain-containing protein
NW_007930841.1,629686,630864,-,19885963,,BBA_02951,XP_008596270.1,367,hypothetical protein BBA_02951
NW_007930841.1,632450,633753,-,19885964,,BBA_02952,XP_008596271.1,339,RTA1 domain-containing protein
NW_007930841.1,634813,637138,+,19885965,,BBA_02953,XP_008596272.1,737,ion transporter
NW_007930841.1,640295,641312,+,19885966,,BBA_02954,XP_008596273.1,323,Hypothetical protein BBA_02954
NW_007930841.1,642356,644511,-,19885967,,BBA_02955,XP_008596274.1,561,scd2/ral3
NW_007930841.1,647248,648859,-,19885968,,BBA_02956,XP_008596275.1,501,GANP/Nin1/mts3/eIF-3 p25 family protein
NW_007930841.1,650140,651297,+,19885969,,BBA_02957,XP_008596276.1,385,EAP30/Vps36 family protein
NW_007930841.1,651529,652674,-,19885970,,BBA_02958,XP_008596277.1,381,centromere binding protein B
NW_007930841.1,653644,653999,-,19885971,,BBA_02959,XP_008596278.1,70,hypothetical protein BBA_02959
NW_007930841.1,654318,655211,+,19885972,,BBA_02960,XP_008596279.1,277,Mitochondrial 18kDa protein
NW_007930841.1,655770,656702,+,19885973,,BBA_02961,XP_008596280.1,310,AN1-like Zinc finger protein
NW_007930841.1,656816,657778,-,19885974,,BBA_02962,XP_008596281.1,320,hypothetical protein BBA_02962
NW_007930841.1,658427,661202,+,19885975,,BBA_02963,XP_008596282.1,907,Rad4 transglutaminase-like domain-containing protein
NW_007930841.1,661357,661815,-,19885976,,BBA_02964,XP_008596283.1,128,hypothetical protein BBA_02964
NW_007930841.1,662211,664951,+,19885977,,BBA_02965,XP_008596284.1,865,PHD-finger domain-containing protein
NW_007930841.1,666271,666939,+,19885978,,BBA_02966,XP_008596285.1,222,hypothetical protein BBA_02966
NW_007930841.1,667783,668359,-,19885979,,BBA_02967,XP_008596286.1,163,Mmc protein
NW_007930841.1,670623,672889,-,19885980,,BBA_02968,XP_008596287.1,688,regulator of G protein signaling
NW_007930841.1,691492,693129,-,19885981,,BBA_02969,XP_008596288.1,545,hypothetical protein BBA_02969
NW_007930841.1,695754,696347,+,19885982,,BBA_02970,XP_008596289.1,181,hypothetical protein BBA_02970
NW_007930841.1,699806,701161,-,19885983,,BBA_02971,XP_008596290.1,414,RNA polymerase II-associated protein
NW_007930841.1,701794,703039,-,19885984,,BBA_02972,XP_008596291.1,388,mitochondrial carrier protein LEU5
NW_007930841.1,703704,704756,+,19885985,,BBA_02973,XP_008596292.1,350,MT-A70 family
NW_007930841.1,704952,705729,-,19885986,,BBA_02974,XP_008596293.1,230,ribosomal protein L23
NW_007930841.1,706279,707742,+,19885987,,BBA_02975,XP_008596294.1,487,"BAHD family acyltransferase, clade V"
NW_007930841.1,707906,708681,-,19885988,,BBA_02976,XP_008596295.1,232,hypothetical protein BBA_02976
NW_007930841.1,709455,711021,+,19885989,,BBA_02977,XP_008596296.1,478,hypothetical protein BBA_02977
NW_007930841.1,711741,712915,-,19885990,,BBA_02978,XP_008596297.1,347,"mitochondrial carrier protein, putative"
NW_007930841.1,713773,714443,-,19885991,,BBA_02979,XP_008596298.1,188,mitochondrial inner membrane protease subunit 2
NW_007930841.1,714940,716135,-,19885992,,BBA_02980,XP_008596299.1,310,eukaryotic translation initiation factor 2 alpha subunit
NW_007930841.1,716670,717880,+,19885993,,BBA_02981,XP_008596300.1,350,WD domain-containing protein
NW_007930841.1,718258,719665,-,19885994,,BBA_02982,XP_008596301.1,380,norsolorinic acid reductase
NW_007930841.1,720611,723298,+,19885995,,BBA_02983,XP_008596302.1,895,hypothetical protein BBA_02983
NW_007930841.1,724614,726107,+,19885996,,BBA_02984,XP_008596303.1,497,squalene epoxidase
NW_007930841.1,726591,728006,-,19885997,,BBA_02985,XP_008596304.1,425,glycosyltransferase family 2
NW_007930841.1,729100,730692,-,19885998,,BBA_02986,XP_008596305.1,512,hypothetical protein BBA_02986
NW_007930836.1,1165629,1167674,+,19883395,,BBA_00383,XP_008593702.1,490,FMN-dependent dehydrogenase
NW_007930836.1,1172357,1173685,+,19883396,,BBA_00384,XP_008593703.1,350,hypothetical protein BBA_00384
NW_007930836.1,1174171,1175125,-,19883397,,BBA_00385,XP_008593704.1,297,HCNGP-like protein
NW_007930836.1,1175968,1176802,-,19883398,,BBA_00386,XP_008593705.1,143,FKBP-type peptidyl-prolyl cis-trans isomerase
NW_007930836.1,1184394,1185083,-,19883399,,BBA_00387,XP_008593706.1,117,RPEL repeat protein
NW_007930836.1,1186723,1190481,+,19883400,,BBA_00388,XP_008593707.1,1216,Myosin
NW_007930836.1,1191030,1192448,-,19883401,,BBA_00389,XP_008593708.1,472,DHHC zinc finger domain-containing protein
NW_007930836.1,1193529,1195993,+,19883402,,BBA_00390,XP_008593709.1,763,capsular associated protein
NW_007930836.1,1201832,1203745,+,19883403,,BBA_00391,XP_008593710.1,562,hypothetical protein BBA_00391
NW_007930836.1,1204707,1207982,+,19883404,,BBA_00392,XP_008593711.1,1091,signal transducer
