"gene_name","old_annotation","pfams","GOs"
"LOC105425246","retinoblastoma-like protein 2 isoform X2","PF01857|Retinoblastoma-associated protein B domain; PF11934|Domain of unknown function (DUF3452); PF01858|Retinoblastoma-associated protein A domain","GO:0005634|nucleus; GO:0051726|regulation of cell cycle"
"LOC105425246","retinoblastoma-like protein 2 isoform X1","PF01857|Retinoblastoma-associated protein B domain; PF11934|Domain of unknown function (DUF3452); PF01858|Retinoblastoma-associated protein A domain","GO:0005634|nucleus; GO:0051726|regulation of cell cycle"
"LOC105425247","leukocyte elastase inhibitor-like","PF00079|Serpin (serine protease inhibitor)",NA
"LOC105425271","uncharacterized protein LOC105425271",NA,NA
"LOC105425249","U1 small nuclear ribonucleoprotein C","PF06220|U1 zinc finger","GO:0008270|zinc ion binding"
"LOC105425248","uncharacterized protein LOC105425248 isoform X2",NA,NA
"LOC105425248","uncharacterized protein LOC105425248 isoform X3",NA,NA
"LOC105425248","uncharacterized protein LOC105425248 isoform X1",NA,NA
"LOC105425272","CCR4-NOT transcription complex subunit 6-like isoform X1","PF13855|Leucine rich repeat","GO:0005515|protein binding"
"LOC105425272","CCR4-NOT transcription complex subunit 6-like isoform X1","PF13855|Leucine rich repeat","GO:0005515|protein binding"
"LOC105425272","CCR4-NOT transcription complex subunit 6-like isoform X4","PF13855|Leucine rich repeat","GO:0005515|protein binding"
"LOC105425272","CCR4-NOT transcription complex subunit 6-like isoform X2","PF13855|Leucine rich repeat","GO:0005515|protein binding"
"LOC105431073","deoxynucleotidyltransferase terminal-interacting protein 2","PF08698|Fcf2 pre-rRNA processing",NA
"LOC105431074","uncharacterized protein LOC105431074 isoform X3",NA,NA
"LOC105431074","uncharacterized protein LOC105431074 isoform X1",NA,NA
"LOC105431074","uncharacterized protein LOC105431074 isoform X2",NA,NA
"LOC105431119","BTB/POZ domain-containing protein KCTD9","PF11834|KHA, dimerisation domain of potassium ion channel; PF00805|Pentapeptide repeats (8 copies); PF02214|BTB/POZ domain","GO:0051260|protein homooligomerization"
"LOC105431120","serine/arginine repetitive matrix protein 1-like",NA,NA
"LOC112552902","uncharacterized protein LOC112552902",NA,NA
"LOC105431122","venom serine protease 34-like","PF00089|Trypsin","GO:0004252|serine-type endopeptidase activity; GO:0006508|proteolysis"
"LOC105431124","facilitated trehalose transporter Tret1-like","PF00083|Sugar (and other) transporter","GO:0016021|integral component of membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105431076","octopamine receptor beta-2R-like isoform X1","PF00001|7 transmembrane receptor (rhodopsin family)","GO:0004930|G protein-coupled receptor activity; GO:0007186|G protein-coupled receptor signaling pathway; GO:0016021|integral component of membrane"
"LOC105431076","octopamine receptor beta-2R-like isoform X1","PF00001|7 transmembrane receptor (rhodopsin family)","GO:0004930|G protein-coupled receptor activity; GO:0007186|G protein-coupled receptor signaling pathway; GO:0016021|integral component of membrane"
"LOC105431076","octopamine receptor beta-2R-like isoform X2","PF00001|7 transmembrane receptor (rhodopsin family)","GO:0004930|G protein-coupled receptor activity; GO:0007186|G protein-coupled receptor signaling pathway; GO:0016021|integral component of membrane"
"LOC105431076","octopamine receptor beta-2R-like isoform X3","PF00001|7 transmembrane receptor (rhodopsin family)","GO:0004930|G protein-coupled receptor activity; GO:0007186|G protein-coupled receptor signaling pathway; GO:0016021|integral component of membrane"
"LOC105431075","uncharacterized protein LOC105431075",NA,NA
"LOC105431077","uncharacterized protein LOC105431077",NA,NA
"LOC105431078","LOW QUALITY PROTEIN: disheveled-associated activator of morphogenesis 1","PF06371|Diaphanous GTPase-binding Domain; PF06367|Diaphanous FH3 Domain; PF02181|Formin Homology 2 Domain","GO:0003779|actin binding; GO:0030036|actin cytoskeleton organization; GO:0031267|small GTPase binding; GO:0003779|actin binding; GO:0016043|cellular component organization"
"LOC105431125","visual system homeobox 2-like","PF00046|Homeodomain","GO:0003677|DNA binding"
"LOC105431126","uncharacterized protein LOC105431126",NA,NA
"LOC105431079","centrosomal protein of 164 kDa isoform X1","PF00397|WW domain","GO:0005515|protein binding"
"LOC105431079","centrosomal protein of 164 kDa isoform X3","PF00397|WW domain","GO:0005515|protein binding"
"LOC105431079","uncharacterized protein PF11_0207 isoform X2","PF00397|WW domain","GO:0005515|protein binding"
"LOC105431080","uncharacterized protein LOC105431080",NA,NA
"LOC105431081","uncharacterized protein LOC105431081",NA,NA
"LOC105431082","H2.0-like homeobox protein isoform X1","PF00046|Homeodomain","GO:0003677|DNA binding"
"LOC105431082","homeobox protein H2.0-like isoform X2","PF00046|Homeodomain","GO:0003677|DNA binding"
"LOC105431083","probable cytochrome P450 12a5, mitochondrial","PF00067|Cytochrome P450","GO:0004497|monooxygenase activity; GO:0005506|iron ion binding; GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; GO:0020037|heme binding"
"LOC105431084","odorant receptor 30a-like","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC112552903","uncharacterized protein LOC112552903","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC105431127","uncharacterized protein LOC105431127","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC105431085","WD repeat-containing protein 92","PF00400|WD domain, G-beta repeat","GO:0005515|protein binding"
"LOC105431087","DNA-directed RNA polymerases I, II, and III subunit RPABC3","PF03870|RNA polymerase Rpb8","GO:0006351|transcription, DNA-templated"
"LOC105431088","LOW QUALITY PROTEIN: condensin complex subunit 3","PF12719|Nuclear condensing complex subunits, C-term domain",NA
"LOC105431091","sodium/potassium-transporting ATPase subunit alpha isoform X4","PF00122|E1-E2 ATPase; PF00690|Cation transporter/ATPase, N-terminus; PF00689|Cation transporting ATPase, C-terminus; PF13246|Cation transport ATPase (P-type)",NA
"LOC105431091","sodium/potassium-transporting ATPase subunit alpha isoform X2","PF00122|E1-E2 ATPase; PF00690|Cation transporter/ATPase, N-terminus; PF00689|Cation transporting ATPase, C-terminus; PF13246|Cation transport ATPase (P-type)",NA
"LOC105431091","sodium/potassium-transporting ATPase subunit alpha isoform X1","PF00122|E1-E2 ATPase; PF00690|Cation transporter/ATPase, N-terminus; PF00689|Cation transporting ATPase, C-terminus; PF13246|Cation transport ATPase (P-type)",NA
"LOC105425272","CCR4-NOT transcription complex subunit 6-like isoform X3","PF13855|Leucine rich repeat","GO:0005515|protein binding"
"LOC112552479","uncharacterized protein LOC112552479",NA,NA
"LOC105424607","uncharacterized protein LOC105424607 isoform X2",NA,NA
"LOC105424607","uncharacterized protein LOC105424607 isoform X1",NA,NA
"LOC105424654","integrator complex subunit 12-like","PF00628|PHD-finger",NA
"LOC105424608","post-GPI attachment to proteins factor 2-like","PF10277|Frag1/DRAM/Sfk1 family",NA
"LOC105424608","post-GPI attachment to proteins factor 2-like","PF10277|Frag1/DRAM/Sfk1 family",NA
"LOC105424608","post-GPI attachment to proteins factor 2-like","PF10277|Frag1/DRAM/Sfk1 family",NA
"LOC105424608","post-GPI attachment to proteins factor 2-like","PF10277|Frag1/DRAM/Sfk1 family",NA
"LOC105424655","protein MAK16 homolog","PF01778|Ribosomal L28e protein family; PF04874|Mak16 protein C-terminal region",NA
"LOC105424656","proton-coupled amino acid transporter-like protein CG1139","PF01490|Transmembrane amino acid transporter protein",NA
"LOC105424610","LOW QUALITY PROTEIN: proton-coupled amino acid transporter-like protein CG1139","PF01490|Transmembrane amino acid transporter protein",NA
"LOC105424657","fatty acid synthase-like","PF00109|Beta-ketoacyl synthase, N-terminal domain",NA
"LOC105424612","paired box protein Pax-6-like isoform X1","PF00046|Homeodomain; PF00292|'Paired box' domain","GO:0003677|DNA binding; GO:0003677|DNA binding; GO:0006355|regulation of transcription, DNA-templated"
"LOC105424612","paired box protein Pax-6-like isoform X1","PF00046|Homeodomain; PF00292|'Paired box' domain","GO:0003677|DNA binding; GO:0003677|DNA binding; GO:0006355|regulation of transcription, DNA-templated"
"LOC105424612","paired box protein Pax-6-like isoform X3","PF00046|Homeodomain; PF00292|'Paired box' domain","GO:0003677|DNA binding; GO:0003677|DNA binding; GO:0006355|regulation of transcription, DNA-templated"
"LOC105424612","paired box protein Pax-6-like isoform X2","PF00046|Homeodomain; PF00292|'Paired box' domain","GO:0003677|DNA binding; GO:0003677|DNA binding; GO:0006355|regulation of transcription, DNA-templated"
"LOC105424611","gamma-gliadin-like",NA,NA
"LOC105424614","zinc finger CCCH domain-containing protein 11A-like","PF15663|Zinc-finger containing family",NA
"LOC105424615","UHRF1-binding protein 1-like isoform X5","PF12624|N-terminal region of Chorein or VPS13",NA
"LOC105424615","UHRF1-binding protein 1-like isoform X3","PF12624|N-terminal region of Chorein or VPS13",NA
"LOC105424615","UHRF1-binding protein 1-like isoform X2","PF12624|N-terminal region of Chorein or VPS13",NA
"LOC105424615","UHRF1-binding protein 1-like isoform X1","PF12624|N-terminal region of Chorein or VPS13",NA
"LOC105424615","UHRF1-binding protein 1-like isoform X4","PF12624|N-terminal region of Chorein or VPS13",NA
"LOC105424617","nucleolar GTP-binding protein 2","PF01926|50S ribosome-binding GTPase; PF08153|NGP1NT (NUC091) domain","GO:0005525|GTP binding"
"LOC105424616","uncharacterized protein LOC105424616","PF02958|Ecdysteroid kinase",NA
"LOC105424618","glucosamine-6-phosphate isomerase isoform X2","PF01182|Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase","GO:0005975|carbohydrate metabolic process"
"LOC105424618","glucosamine-6-phosphate isomerase isoform X1","PF01182|Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase","GO:0005975|carbohydrate metabolic process"
"LOC105424618","glucosamine-6-phosphate isomerase isoform X1","PF01182|Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase","GO:0005975|carbohydrate metabolic process"
"LOC105424620","LOW QUALITY PROTEIN: regulator of telomere elongation helicase 1 homolog","PF06733|DEAD_2; PF13307|Helicase C-terminal domain","GO:0003677|DNA binding; GO:0003678|DNA helicase activity; GO:0005524|ATP binding; GO:0003676|nucleic acid binding; GO:0004386|helicase activity; GO:0005524|ATP binding; GO:0006139|nucleobase-containing compound metabolic process; GO:0016818|hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"
"LOC105424621","T-complex protein 11-like protein 1 isoform X2","PF05794|T-complex protein 11",NA
"LOC105424621","T-complex protein 11-like protein 1 isoform X2","PF05794|T-complex protein 11",NA
"LOC105424621","T-complex protein 11-like protein 1 isoform X1","PF05794|T-complex protein 11",NA
"LOC105424621","T-complex protein 11-like protein 1 isoform X1","PF05794|T-complex protein 11",NA
"LOC105424621","T-complex protein 11-like protein 1 isoform X3","PF05794|T-complex protein 11",NA
"LOC105433696","calcium/calmodulin-dependent 3\\',5\\'-cyclic nucleotide phosphodiesterase 1-like isoform X5","PF08499|3'5'-cyclic nucleotide phosphodiesterase N-terminal; PF00233|3'5'-cyclic nucleotide phosphodiesterase","GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0007165|signal transduction"
"LOC105433696","calcium/calmodulin-dependent 3\\',5\\'-cyclic nucleotide phosphodiesterase 1-like isoform X7","PF08499|3'5'-cyclic nucleotide phosphodiesterase N-terminal; PF00233|3'5'-cyclic nucleotide phosphodiesterase","GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0007165|signal transduction"
"LOC105433696","calcium/calmodulin-dependent 3\\',5\\'-cyclic nucleotide phosphodiesterase 1-like isoform X7","PF08499|3'5'-cyclic nucleotide phosphodiesterase N-terminal; PF00233|3'5'-cyclic nucleotide phosphodiesterase","GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0007165|signal transduction"
"LOC105433696","calcium/calmodulin-dependent 3\\',5\\'-cyclic nucleotide phosphodiesterase 1-like isoform X7","PF08499|3'5'-cyclic nucleotide phosphodiesterase N-terminal; PF00233|3'5'-cyclic nucleotide phosphodiesterase","GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0007165|signal transduction"
"LOC105433696","calcium/calmodulin-dependent 3\\',5\\'-cyclic nucleotide phosphodiesterase 1-like isoform X7","PF08499|3'5'-cyclic nucleotide phosphodiesterase N-terminal; PF00233|3'5'-cyclic nucleotide phosphodiesterase","GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0007165|signal transduction"
"LOC105433696","calcium/calmodulin-dependent 3\\',5\\'-cyclic nucleotide phosphodiesterase 1-like isoform X1","PF08499|3'5'-cyclic nucleotide phosphodiesterase N-terminal; PF00233|3'5'-cyclic nucleotide phosphodiesterase","GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0007165|signal transduction"
"LOC105433696","calcium/calmodulin-dependent 3\\',5\\'-cyclic nucleotide phosphodiesterase 1-like isoform X1","PF08499|3'5'-cyclic nucleotide phosphodiesterase N-terminal; PF00233|3'5'-cyclic nucleotide phosphodiesterase","GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0007165|signal transduction"
"LOC105433696","calcium/calmodulin-dependent 3\\',5\\'-cyclic nucleotide phosphodiesterase 1-like isoform X1","PF08499|3'5'-cyclic nucleotide phosphodiesterase N-terminal; PF00233|3'5'-cyclic nucleotide phosphodiesterase","GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0007165|signal transduction"
"LOC105433696","calcium/calmodulin-dependent 3\\',5\\'-cyclic nucleotide phosphodiesterase 1-like isoform X3","PF08499|3'5'-cyclic nucleotide phosphodiesterase N-terminal; PF00233|3'5'-cyclic nucleotide phosphodiesterase","GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0007165|signal transduction"
"LOC105433696","calcium/calmodulin-dependent 3\\',5\\'-cyclic nucleotide phosphodiesterase 1-like isoform X6","PF08499|3'5'-cyclic nucleotide phosphodiesterase N-terminal; PF00233|3'5'-cyclic nucleotide phosphodiesterase","GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0007165|signal transduction"
"LOC105433696","calcium/calmodulin-dependent 3\\',5\\'-cyclic nucleotide phosphodiesterase 1-like isoform X8","PF08499|3'5'-cyclic nucleotide phosphodiesterase N-terminal; PF00233|3'5'-cyclic nucleotide phosphodiesterase","GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0007165|signal transduction"
"LOC105433696","calcium/calmodulin-dependent 3\\',5\\'-cyclic nucleotide phosphodiesterase 1-like isoform X2","PF08499|3'5'-cyclic nucleotide phosphodiesterase N-terminal; PF00233|3'5'-cyclic nucleotide phosphodiesterase","GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0007165|signal transduction"
"LOC105433696","calcium/calmodulin-dependent 3\\',5\\'-cyclic nucleotide phosphodiesterase 1-like isoform X4","PF08499|3'5'-cyclic nucleotide phosphodiesterase N-terminal; PF00233|3'5'-cyclic nucleotide phosphodiesterase","GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0007165|signal transduction"
"LOC105433698","LOW QUALITY PROTEIN: farnesol dehydrogenase-like","PF00106|short chain dehydrogenase","GO:0016491|oxidoreductase activity"
"LOC105433754","uncharacterized protein LOC105433754","PF00538|linker histone H1 and H5 family","GO:0000786|nucleosome; GO:0003677|DNA binding; GO:0006334|nucleosome assembly"
"LOC105433700","gamma-aminobutyric acid receptor alpha-like, partial","PF02931|Neurotransmitter-gated ion-channel ligand binding domain; PF02932|Neurotransmitter-gated ion-channel transmembrane region","GO:0005230|extracellular ligand-gated ion channel activity; GO:0006811|ion transport; GO:0016021|integral component of membrane; GO:0006811|ion transport; GO:0016021|integral component of membrane"
"LOC105433701","LOW QUALITY PROTEIN: ADP-ribosylation factor-like protein 6-interacting protein 4","PF10500|Nuclear RNA-splicing-associated protein",NA
"LOC105433706","LOW QUALITY PROTEIN: fructose-bisphosphate aldolase-like","PF00274|Fructose-bisphosphate aldolase class-I","GO:0004332|fructose-bisphosphate aldolase activity; GO:0006096|glycolytic process"
"LOC105433704","uncharacterized protein LOC105433704",NA,NA
"LOC105433703","fructose-bisphosphate aldolase isoform X2","PF00274|Fructose-bisphosphate aldolase class-I","GO:0004332|fructose-bisphosphate aldolase activity; GO:0006096|glycolytic process"
"LOC105433703","fructose-bisphosphate aldolase isoform X1","PF00274|Fructose-bisphosphate aldolase class-I","GO:0004332|fructose-bisphosphate aldolase activity; GO:0006096|glycolytic process"
"LOC105433703","fructose-bisphosphate aldolase isoform X1","PF00274|Fructose-bisphosphate aldolase class-I","GO:0004332|fructose-bisphosphate aldolase activity; GO:0006096|glycolytic process"
"LOC105433707","structure-specific endonuclease subunit slx1","PF01541|GIY-YIG catalytic domain",NA
"LOC105433756","uncharacterized protein LOC105433756",NA,NA
"LOC105433709","solute carrier family 22 member 3-like","PF00083|Sugar (and other) transporter; PF07690|Major Facilitator Superfamily","GO:0016021|integral component of membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105433708","mediator of RNA polymerase II transcription subunit 31","PF05669|SOH1","GO:0003712|transcription coregulator activity; GO:0006355|regulation of transcription, DNA-templated; GO:0016592|mediator complex"
"LOC105433757","uncharacterized protein LOC105433757","PF00650|CRAL/TRIO domain",NA
"LOC105433710","alpha-tocopherol transfer protein-like","PF00650|CRAL/TRIO domain",NA
"LOC105433710","alpha-tocopherol transfer protein-like","PF00650|CRAL/TRIO domain",NA
"LOC105433710","alpha-tocopherol transfer protein-like","PF00650|CRAL/TRIO domain",NA
"LOC105433712","uncharacterized protein LOC105433712","PF00379|Insect cuticle protein",NA
"LOC105433713","synaptosomal-associated protein 29","PF12352|Snare region anchored in the vesicle membrane C-terminus",NA
"LOC105431091","sodium/potassium-transporting ATPase subunit alpha isoform X5","PF00122|E1-E2 ATPase; PF00690|Cation transporter/ATPase, N-terminus; PF00689|Cation transporting ATPase, C-terminus; PF13246|Cation transport ATPase (P-type)",NA
"LOC105431091","sodium/potassium-transporting ATPase subunit alpha isoform X3","PF00122|E1-E2 ATPase; PF00690|Cation transporter/ATPase, N-terminus; PF00689|Cation transporting ATPase, C-terminus; PF13246|Cation transport ATPase (P-type)",NA
"LOC105431090","LOW QUALITY PROTEIN: NPC intracellular cholesterol transporter 2-like","PF02221|ML domain",NA
"LOC105431089","D-beta-hydroxybutyrate dehydrogenase, mitochondrial","PF00106|short chain dehydrogenase","GO:0016491|oxidoreductase activity"
"LOC105431089","D-beta-hydroxybutyrate dehydrogenase, mitochondrial","PF00106|short chain dehydrogenase","GO:0016491|oxidoreductase activity"
"LOC105431089","D-beta-hydroxybutyrate dehydrogenase, mitochondrial","PF00106|short chain dehydrogenase","GO:0016491|oxidoreductase activity"
"LOC105431089","D-beta-hydroxybutyrate dehydrogenase, mitochondrial","PF00106|short chain dehydrogenase","GO:0016491|oxidoreductase activity"
"LOC105431089","D-beta-hydroxybutyrate dehydrogenase, mitochondrial","PF00106|short chain dehydrogenase","GO:0016491|oxidoreductase activity"
"LOC105431093","zinc finger protein-like 1 isoform X2","PF13639|Ring finger domain",NA
"LOC105431093","zinc finger protein-like 1 isoform X1","PF13639|Ring finger domain",NA
"LOC105431094","programmed cell death protein 5","PF01984|Double-stranded DNA-binding domain","GO:0003677|DNA binding"
"LOC105431095","protein disulfide-isomerase TMX3 isoform X2","PF13848|Thioredoxin-like domain; PF00085|Thioredoxin",NA
"LOC105431095","protein disulfide-isomerase TMX3 isoform X1","PF13848|Thioredoxin-like domain; PF00085|Thioredoxin",NA
"LOC105431096","autophagy-related protein 2 homolog B","PF09333|Autophagy-related protein C terminal domain; PF12624|N-terminal region of Chorein or VPS13; PF13329|Autophagy-related protein 2 CAD motif",NA
"LOC105431097","transmembrane protein 179",NA,NA
"LOC105431101","uncharacterized protein LOC105431101 isoform X2","PF16033|Domain of unknown function (DUF4789)",NA
"LOC105431101","uncharacterized protein LOC105431101 isoform X1","PF16033|Domain of unknown function (DUF4789)",NA
"LOC105431101","uncharacterized protein LOC105431101 isoform X1","PF16033|Domain of unknown function (DUF4789)",NA
"LOC105431101","uncharacterized protein LOC105431101 isoform X1","PF16033|Domain of unknown function (DUF4789)",NA
"LOC105431101","uncharacterized protein LOC105431101 isoform X1","PF16033|Domain of unknown function (DUF4789)",NA
"LOC105431100","dimethyladenosine transferase 2, mitochondrial",NA,NA
"LOC105431100","dimethyladenosine transferase 2, mitochondrial",NA,NA
"LOC105431099","3\\'(2\\'),5\\'-bisphosphate nucleotidase 1 isoform X1","PF00459|Inositol monophosphatase family","GO:0046855|inositol phosphate dephosphorylation"
"LOC105431099","3\\'(2\\'),5\\'-bisphosphate nucleotidase 1 isoform X2","PF00459|Inositol monophosphatase family","GO:0046855|inositol phosphate dephosphorylation"
"LOC105431098","beta-1,3-glucan-binding protein-like","PF00722|Glycosyl hydrolases family 16; PF15886|Carbohydrate binding domain (family 32)","GO:0004553|hydrolase activity, hydrolyzing O-glycosyl compounds; GO:0005975|carbohydrate metabolic process; GO:0030246|carbohydrate binding"
"LOC105431098","beta-1,3-glucan-binding protein-like","PF00722|Glycosyl hydrolases family 16; PF15886|Carbohydrate binding domain (family 32)","GO:0004553|hydrolase activity, hydrolyzing O-glycosyl compounds; GO:0005975|carbohydrate metabolic process; GO:0030246|carbohydrate binding"
"LOC105431128","uncharacterized protein LOC105431128",NA,NA
"LOC105431129","uncharacterized protein LOC105431129",NA,NA
"LOC105431103","calcium-transporting ATPase type 2C member 1 isoform X2","PF13246|Cation transport ATPase (P-type); PF00122|E1-E2 ATPase; PF00690|Cation transporter/ATPase, N-terminus; PF00689|Cation transporting ATPase, C-terminus",NA
"LOC105431103","calcium-transporting ATPase type 2C member 1 isoform X1","PF13246|Cation transport ATPase (P-type); PF00122|E1-E2 ATPase; PF00690|Cation transporter/ATPase, N-terminus; PF00689|Cation transporting ATPase, C-terminus",NA
"LOC105431104","uncharacterized protein LOC105431104",NA,NA
"LOC105431130","uncharacterized protein LOC105431130",NA,NA
"LOC105431105","uncharacterized protein LOC105431105 isoform X1",NA,NA
"LOC105431105","uncharacterized protein LOC105431105 isoform X2",NA,NA
"LOC105431106","uncharacterized protein LOC105431106",NA,NA
"LOC105424621","T-complex protein 11-like protein 1 isoform X3","PF05794|T-complex protein 11",NA
"LOC105424621","T-complex protein 11-like protein 1 isoform X3","PF05794|T-complex protein 11",NA
"LOC105424623","catalase","PF06628|Catalase-related immune-responsive; PF00199|Catalase","GO:0004096|catalase activity; GO:0020037|heme binding"
"LOC105424624","JNK-interacting protein 3","PF19056|WD40 repeated domain; PF16471|JNK-interacting protein leucine zipper II; PF09744|JNK_SAPK-associated protein-1",NA
"LOC105424658","LOW QUALITY PROTEIN: dosage compensation regulator-like","PF07717|Oligonucleotide/oligosaccharide-binding (OB)-fold; PF00270|DEAD/DEAH box helicase; PF00271|Helicase conserved C-terminal domain; PF04408|Helicase associated domain (HA2); PF00035|Double-stranded RNA binding motif","GO:0003676|nucleic acid binding; GO:0005524|ATP binding; GO:0004386|helicase activity"
"LOC105424627","protein regulator of cytokinesis 1-like","PF03999|Microtubule associated protein (MAP65/ASE1 family)",NA
"LOC105424627","protein regulator of cytokinesis 1-like","PF03999|Microtubule associated protein (MAP65/ASE1 family)",NA
"LOC105424626","LOW QUALITY PROTEIN: centrosome-associated protein 350-like",NA,NA
"LOC105424628","uncharacterized protein LOC105424628 isoform X2","PF14916|Coiled-coil domain of unknown function",NA
"LOC105424628","uncharacterized protein LOC105424628 isoform X1","PF14916|Coiled-coil domain of unknown function",NA
"LOC105424629","LOW QUALITY PROTEIN: uncharacterized protein LOC105424629",NA,NA
"LOC105424630","LOW QUALITY PROTEIN: probable peptide chain release factor C12orf65, mitochondrial","PF00472|RF-1 domain","GO:0003747|translation release factor activity; GO:0006415|translational termination"
"LOC105424633","uncharacterized protein LOC105424633 isoform X2","PF07535|DBF zinc finger","GO:0003676|nucleic acid binding; GO:0008270|zinc ion binding"
"LOC105424633","uncharacterized protein LOC105424633 isoform X1","PF07535|DBF zinc finger","GO:0003676|nucleic acid binding; GO:0008270|zinc ion binding"
"LOC105424635","ileal sodium/bile acid cotransporter-like","PF01758|Sodium Bile acid symporter family","GO:0016020|membrane"
"LOC105424634","transmembrane emp24 domain-containing protein 5-like","PF01105|emp24/gp25L/p24 family/GOLD",NA
"LOC105424636","uncharacterized protein LOC105424636 isoform X1","PF00018|SH3 domain; PF00621|RhoGEF domain","GO:0005515|protein binding; GO:0005085|guanyl-nucleotide exchange factor activity"
"LOC105424636","uncharacterized protein LOC105424636 isoform X1","PF00018|SH3 domain; PF00621|RhoGEF domain","GO:0005515|protein binding; GO:0005085|guanyl-nucleotide exchange factor activity"
"LOC105424636","uncharacterized protein LOC105424636 isoform X1","PF00018|SH3 domain; PF00621|RhoGEF domain","GO:0005515|protein binding; GO:0005085|guanyl-nucleotide exchange factor activity"
"LOC105424636","uncharacterized protein LOC105424636 isoform X2","PF00018|SH3 domain; PF00621|RhoGEF domain","GO:0005515|protein binding; GO:0005085|guanyl-nucleotide exchange factor activity"
"LOC105424637","acyl-CoA-binding protein homolog isoform X2","PF00887|Acyl CoA binding protein","GO:0000062|fatty-acyl-CoA binding"
"LOC105424637","acyl-CoA-binding protein homolog isoform X1","PF00887|Acyl CoA binding protein","GO:0000062|fatty-acyl-CoA binding"
"LOC105424661","high affinity cationic amino acid transporter 1-like","PF13520|Amino acid permease","GO:0016020|membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105424662","phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein",NA,NA
"LOC105424638","calcium-activated potassium channel slowpoke isoform X1","PF03493|Calcium-activated BK potassium channel alpha subunit; PF00520|Ion transport protein","GO:0006813|potassium ion transport; GO:0016020|membrane; GO:0005216|ion channel activity; GO:0006811|ion transport; GO:0016020|membrane; GO:0055085|transmembrane transport"
"LOC105424638","calcium-activated potassium channel slowpoke isoform X4","PF03493|Calcium-activated BK potassium channel alpha subunit; PF00520|Ion transport protein","GO:0006813|potassium ion transport; GO:0016020|membrane; GO:0005216|ion channel activity; GO:0006811|ion transport; GO:0016020|membrane; GO:0055085|transmembrane transport"
"LOC105424638","calcium-activated potassium channel slowpoke isoform X3","PF03493|Calcium-activated BK potassium channel alpha subunit; PF00520|Ion transport protein","GO:0006813|potassium ion transport; GO:0016020|membrane; GO:0005216|ion channel activity; GO:0006811|ion transport; GO:0016020|membrane; GO:0055085|transmembrane transport"
